,,,,,Etapes Cycle de Vie,N/A,Acquisition,Conception,Réalisation,Déploiement,Administration,Utilisation,Maintenance,Fin de Vie,Revalorisation,,,,,,,,,,,,,,,,
UX/UI,UX/UI-1.03,B,B,A,Intégrer le Numérique Responsable dans les objectifs majeurs du projet,Les plus-values extra-financières du numérique responsable sont-elles valorisées dans le business model ?,Le Numérique Responsable (NR) peut-être considéré comme un réel vecteur de développement économique au sein de votre organisation. Intégrer la dimension NR de façon pérenne à votre business model permettra d'éviter des arbitrages permanents sur sa valorisation et son intégration à vos futurs projets.,Utilisation,"Les valeurs humaines, écologiques et économiques se retrouvent-elles dans le business model canvas et sont-elles validées par toutes les parties prenantes  ? ","Un ""Evidence planning"" est-il utilisé pour mettre en valeur les différents gains et coûts des 3P ? ",,"ND: voir les templates (naissants) de sustainable business canvas ?

Sl : Evidence planning","SL : https://www.designkit.org/methods/business-model-canvas


SL : https://diytoolkit.org/media/Evidence-Planning-A4.pdf",RECO,***,,INCONTOURNABLE,#COM ; #VALUE ; #FIN ;,ProjectMngr ; ProductOwner ; Manager ; ITMngr ;,(X / Y ) * 100,Formalisés = 100 ; prévus = 75 ; Identifiés = 50 ; Non = 0,100,High,Once,les analyses de bénéfices couvrent les aspects NR avec leurs retombées ,,,,,,
UX/UI,UX/UI-1.C01,B,B,B,Intégrer le Numérique Responsable dans les objectifs majeurs du projet,Un process NR est-il prévu au niveau de la gouvernance projet ?,"Une démarche NR doit être systémique, sur l'ensemble du cycle de vie du projet, et donc portée par tous les acteurs du développement.",Réalisation,"Des revues et un suivi transverse des aspects NR sont-ils mis en place ?
A quelle fréquence sont planifiées les revues NR ?",Un RACI est-il prévu ?,,voir si un template est dispo ?,,CONSEIL,N/A,,,,,,,,,,,,,,,,
UX/UI,UX/UI-1.04,C,B,C,Intégrer le Numérique Responsable dans les objectifs majeurs du projet,Les améliorations NR sont-elles  identifiées et systématiquement planifiées ?,Le principe d'amélioration continue permet d'augmenter la performance du projet et donc de limiter son impact.,Maintenance,La revue projet est-elle réalisée et permet-elle d'améliorer les impacts sur les 3ps ?,Utiliser un backlog des améliorations identifiées,Un post mortem est-il systématiquement mis en place ? ,liens vers méthodo de pratique post mortem,,RECO,**,,,#MAINT ; #VALUE ; #METH ;,Dev ; Designer ; ProductOwner ;,(X / Y ) * 100,Composantes NR,Améliorations,High,OnUpdate,Backlog,,,,,,
UX/UI,UX/UI-1.05,B,B,A,Intégrer le Numérique Responsable dans les objectifs majeurs du projet,"Pour les aspects NR les responsables projet (chef de projet, product owner ....) ont-ils les mêmes prérogatives que les aspects métiers?","Pour que le sujet NR soit suivi, il doit être incarné par une personne identifiée, responsable, qui diffuse les enjeux à chaque intervenant métier et prend part aux décisions. Ce rôle peut être défini dans ses objectifs personnels ou fiche de poste.",Réalisation,Quel est le niveau de décision du responsable projet pour les aspects NR ?,"Le responsable du projet a-t-il présenté le référentiel NR choisi pour le projet ?
",Tous les protagonistes ont-ils bien le même niveau d'information sur les différents rôles quant à la responsabilité NR ? ,,,RECO,**,,,#VALUE ; #METH ; #HR ;,Dev ; Designer ; ProductOwner ;,(X / Y ) * 100,Formalisés = 100 ; Arbitrés = 75 ; Possibles = 50 ; Non = 0,100,High,Periodic,Plan de formation,,,,,,
UX/UI,UX/UI-1.06,B,B,A,Intégrer le Numérique Responsable dans les objectifs majeurs du projet,La production des livrables (production documentaire comprise) est-elle utilisée en amont du projet et est-elle produite pour permettre d'être réutilisée dans les projets suivants ?,Une base de connaissances et de compétences NR va émerger au fur et à mesure des projets. Il est important de capitaliser sur l'expérience acquise et de diffuser les bonnes pratiques. Cela permettra à vos équipes de développer des automatismes et de réutiliser des solutions qui ont fait leurs preuves sur de futurs projets.,Revalorisation,La démarche qualité est-elle appliquée à tous les éléments de communication du produit ?,Un process de low fidelity est-il mis en oeuvre en préalable du high fidelity ?,,,,RECO,**,,,#VOL ; #SEC ; #USE ; #MAINT ; #DEBT ; #METH ; #FIN,Dev ; Designer ; ProjectMngr ; ProductOwner ; ITMngr,,,,Low,OnUpdate,Documentation technique,,,,,,
UX/UI,UX/UI-1.C02,B,B,A,Intégrer le Numérique Responsable dans les objectifs majeurs du projet,Un budget sur les axes 3Ps est-il associé et suivi lors du projet ?,"Suivant le niveau de maturité de l'organisation, la prise en compte du NR peut engendrer un coût et un temps de réflexion qui doivent être prévus et associés aux bénéfices attendus. Les postes et les temps alloués au NR sur le budget doivent être validés, visibles et communiqués de manière précise à toutes les parties prenantes du projet.",Administration,"Les missions UX-UI liées au NR sont-elles clairement détaillées et communiquées dans le budget ?
Des indicateurs incluant les 3P sont-ils mis en place pour suivre le budget du projet ? 
",Le budget NR est-il validé au niveau projet ?,"Un budget carbone est-il alloué au projet et au service, pour tout le cycle de vie ? ",Systemic Design,https://www.systemicdesigntoolkit.org/download,CONSEIL,N/A,,,,,,,,,,,,,,,,
UX/UI,UX/UI-2,,,,Sensibiliser les parties prenantes internes et externes au Numérique Responsable,,,,,,,,,,,ODD#10 ; ODD#12 ; ODD#13,,,,,,,,,,,,,,,
UX/UI,UX/UI-2.01,B,A,A,Sensibiliser les parties prenantes internes et externes au Numérique Responsable,Les parties prenantes sont-elles sensibilisées au NR ?,"Pour adhérer, il faut comprendre. Le NR n'est pas une discipline technique. Les principes du NR doivent être mis en oeuvre dans des pratiques métiers et les comportements de chacun des acteurs. Toutes les parties prenantes du projet doivent être sensibilisées au NR pour agir à leur niveau.",N/A,"Un partage de la connaissance et une sensibilisation vers les parties prenantes sont-ils en place ?
",Un support de sensibilisation adaptable aux différents projets et aux différents niveaux de connaissance de l'ensemble des parties prenantes est-il disponible ?,,"partage des référentiels NR
prévoir au planning du temps (et un budget ? ) de sensibilisation",,RECO,*,,INCONTOURNABLE,#COM ; #GOV ; #HR ;,RSE/NR ; HR ;,(X / Y ) * 100,Sensibilisations NR,Membre équipe,High,Periodic,Le plan de formation intègre les diffusions de sensibilisations et formations aux aspects NR.,,,,,,
UX/UI,UX/UI-2.02,B,B,B,Sensibiliser les parties prenantes internes et externes au Numérique Responsable,"Les différentes étapes du projet sont-elles identifiées avec leur process de validation, afin de faire adhérer les parties prenantes à la démarche itérative ? ","La démarche NR est itérative et parfaitement adaptée aux processus Agiles, ce qui impose aussi des mécanismes de contrôles et de validation performants et formalisés.",Réalisation,Comment sont validées les étapes projets pour le NR ?,Disposez-vous de Sustainable Decision Point ? ,,,,RECO,**,,,#COM ; #VALUE ; #METH ;,Dev ; Designer ; ProductOwner ;,(X / Y ) * 100,Formalisés = 100 ; prévus = 75 ; Identifiés = 50 ; Non = 0,100,Medium,OnUpdate,Definition of Done,,,,,,
UX/UI,UX/UI-2.C01,A,A,B,Sensibiliser les parties prenantes internes et externes au Numérique Responsable,"Avez-vous mis en place un système de présentation du suivi d'impacts environnementaux, pour l'exploitation du service et pour chaque utilisateur ?","L'engagement des utilisateurs va susciter l'adhésion à la démarche NR, c'est un aspect important de la propagation des valeurs et résultats de l'organisation. Le fait de communiquer aux utilisateurs des éléments très visuels facilite leur adhésion et la compréhension de vos engagements.",Administration, Un compteur écologique est-il proposé à l'utilisateur de manière didactique ? ,Un compteur de la consommation électrique est-il mis en place pour l'usage du service (par session par ex.) ? ,"Un compteur de temps de visionnage est-il mis en place pour l'usage du service (par session par ex.) ?

Le poids des fichiers à télécharger est-il systématiquement indiqué afin de sensibiliser à l'impact de la fonctionnalité ? ",,,CONSEIL,N/A,,,,,,,,,,,,,,,,
UX/UI,UX/UI-2.C02,B,A,A,Sensibiliser les parties prenantes internes et externes au Numérique Responsable,Quelles données sont disponibles à la communication concernant le respect des normes et préconisations NR sur le service ? ,"Un certain nombre de ressources sont disponibles pour afficher le niveau de complétion et adhésion au NR. Cela se traduit par des badges, des labels, des normes... permettant à l'utilisateur d'identifier les organisations qui font les efforts les plus sensibles sur les enjeux sociaux et environnementaux.",Acquisition,Les labels et badges à atteindre par l'applicatif sont-ils fixés en début de projet et affichés dans le service ?,"Le service est-il certifié et/ou répond-t-il à une normalisation (ISO 14000, 14040...) ? ",Un outil de communication est-il disponible ?,eco index,http://www.ecoindex.fr/,CONSEIL,N/A,,,,,,,,,,,,,,,,
UX/UI,UX/UI-2.C03,B,B,B,Sensibiliser les parties prenantes internes et externes au Numérique Responsable,"Pour permettre aux utilisateurs d'être acteurs dans la réduction de leurs impacts, ont-ils accès à des références qui les invitent à des pratiques NR  ?
","Le comportement de l'utilisateur reste l'un des points sur lequel l'organisation n'a pas de contrôle. Malgré tous les bénéfices attendus d'une conception responsable de services numériques, la pratique de l'utilisateur peut soit démultiplier les effets positifs, soit les réduire dans des proportions importantes. Communiquer des éléments qui permettent à l'utilisateur de prendre conscience de ces actions pour qu'il réduise son impact est indispensable.",Utilisation,Des éco-tips  et les données d'utilisation sont-ils accessibles par l'utilisateur lors de l'utilisation du service ?,Les settings à impact NR du service sont-ils clairement identifiables et facilement accessibles par l'utilisateur ?,"Proposez-vous des guidelines orientées NR ?
Des solutions alternatives NR permettent-elles de prioriser les choix utilisateurs ?",schéma pluri-annuel d'accessibilité + déclaration d'accessibilité,exemple : YT (pause) et discord (pause),CONSEIL,N/A,,,,,,,,,,,,,,,,
UX/UI,UX/UI-3,,,,Rendre disponible et accessible le service numérique au plus grand nombre d'utilisateurs,,,,,,,,,,,ODD#5 ; ODD#8 ; ODD#10,,,,,,,,,,,,,,,
UX/UI,UX/UI-3.C01,C,A,B,Rendre disponible et accessible le service numérique au plus grand nombre d'utilisateurs,"Les freins à l'utilisation du numérique (accessibilité, techniques, territoriaux) sont-ils pris en compte ?","Afin d’être responsable, le numérique doit en tout premier lieu être disponible et accessible (En France, 14% de la population n'a pas d'accès à internet ou pas de compétences numériques (source : Vie-publique.fr / DILA  Source: ICT Surveys - INSEE), car en France plus d'un usager sur 3 manque de compétences numériques de base. C'est l'objet de la dimension humaine du NR, qui couvre les freins à l'utilisation du numérique pour certains publics en fonction de capacités à percevoir les éléments (accessibilité) et les accès et la qualité des réseaux.",Conception,"La constitution des personas prend elle en compte l'intégralité des cas d'inclusion numérique ?

Les usagers en difficulté sont-ils repérés à l'aide des personnas et accompagnés durant tout le cycle de vie du service via des tests utilisateurs ou onboarding formations ? ",En cas de conflit comment les élements sont-ils arbitrés ?,"L'accès aux technologies et à la qualité du débit d'internet est-il bien pris en compte dès la phase de conception ? 

Avez-vous défini un objectif au taux d'accessibilité de votre service ? 

Le service répond-t-il aux recommandations et obligations d'accessibilité et rempli-t-il les critères d'un label d'accessibilité / normes ? ","

SL : Rapport défenseur des droits : Dématérialisation et inégalités d'accès aux services publics",SL : https://www.defenseurdesdroits.fr/sites/default/files/atoms/files/rapport-dematerialisation_num-accessible-03.04.19.pdf,CONSEIL,N/A,,,,,,,,,,,,,,,,
UX/UI,UX/UI-3.01,C,A,B,Rendre disponible et accessible le service numérique au plus grand nombre d'utilisateurs,"
Quelles solutions sont déployées pour lutter contre l'illectronisme et simplifier les usages et services ?","Réduire les inégalités d’accès au service numérique afin de n’exclure aucun utilisateur, ces cas d'exclusion peuvent être fortement limités en prenant en compte très tôt dans la conception les disparités sociales, générationnelles et territoriales.",Conception,"
La courbe d'apprentissage de l'utilisation et de la compréhension du service est-elle gérée ?","L'UX Content de l'applicatif est-il géré, la prise en main du service a-t-elle été facilitée ?
","Quel est le taux de satisfaction/réussite de l'usage du service par tous les usagers séparément ? 

Les outils d'accessibilité existants et déjà utilisés sont-ils identifiés ? ","GT contenus
Microsoft : Design for guidance



Rapport INSEE sur l'illectronisme","https://msdesignstorage.blob.core.windows.net/microsoftdesign/inclusive/InclusiveDesign_DesigningForGuidance.pdf


https://www.insee.fr/fr/statistiques/4241397",RECO,**,,,#USE ; #VALUE,Dev ; Designer ; ProductOwner ;,(X / Y ) * 100,Formalisés = 100 ; prévus = 75 ; Identifiés = 50 ; Non = 0,100,Low,OnUpdate,Tests utilisateurs,,,Y,#SCRIPT,**,Outils contrôle de vocabulaire complexité des paragraphes
